sample,Site,Visit,Category,treatment.status,WaterPotential_MPa,PercentMoisture,Total.N,Total.C,CN.ratio,OM.LOI,pH,EC,NH4,NO3,P,meanDepth,meanSPC,waterpH,meanORP,Phrag Present,NoSpecies_1,DomSpecies_1,Listspecies_1,NoSpecies_2,DomSpecies_2,Listspecies_2,NoSpecies_3,DomSpecies_3,Listspecies_3,NoSpecies_4,DomSpecies_4,Listspecies_4,NoSpecies_5,DomSpecies_5,Listspecies_5,MeanSpecies,mean.canopy,mean.stem.density,lat,long,Location,Area,plotID,year.last.treatment,treatment.2021,herbicide.2021,num_treatments,num_phrag_total,percent.phrag,num_phrag_per,phrag.present,isimpaired,algal.growth,cause.unk.impaired.biota,metals.other.hg,nutrients,oxygen.depletion,pathogens,polychlorinated.biphenyls,solids.chlorides.sulfates,temperatur,unimpaired,mean.orp,mean.orp.10,mean.orp.20,mean.do.mg,mean.do.percent,mean.depth,mean.mulch,mean.temp,np.ratio,sp.richness,treatment.2021,soil.salinity,nanodrop.dna,Al1670,As1890,B_2497,Ba4554,Ca3179,Cd2265,Co2286,Cr2835,Cu3247,Fe2382,K_7664,Mg2852,Mn2576,Mo2020,Na5895,Ni2316,P_1782,Pb2203,S_1820,Se1960,Si2516,Sr4077,Ti3088,V_3093,Zn2138
34A,34,A,Native,Untreated,-0.18,55.2,0.395,6.882,17.4101,6.8,7.927,6.534,3.6306,0.1514,29.94,22.6,NA,NA,NA,No,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,112,12.4,41.42295,-112.14687,BRMBR,Great Salt Lake,,,Spray,Y,,0,0,0,N, , , , , , , , , , ,,,-199.6,-206.8,NA,NA,22.6,0,NA,29.17409985,1,Spray,Saline,-0.1,22.38,0.0123,0.1089,0.4127,288.9,0.0043,0.0173,0.0977,0.0539,40.82,11.6,41.84,0.8276,0.0072,14.95,0.04,3.127,0.0399,10.44,0.0178,4.805,0.6561,0.7908,0.1309,0.1542
35A,35,A,Treated,Treated,-0.83,53.2,0.144,5.421,37.6283,2.2,8.404,2.922,2.1605,0.1396,34.14,44.7,4992.5,8.405,139.15,No,0,,,0,,,0,,,0,,,0,,,0,0,0,41.41966,-112.17626,BRMBR,Great Salt Lake,GSL8,,Spray,Y,,9,60,0,N, , , , , , , , , , ,,55.66,-44.6,-78,8.55,114.3,44.7,0,22.43333333,9.327196808,0,Spray,Brackish,0.1,22.01,0.0224,0.1062,0.5811,458.3,0.0043,0.0153,0.094,0.0414,37.77,12.12,57.13,1.366,-0.0002,7.599,0.0332,3.15,0.0332,3.931,0.0014,4.786,1.173,0.9099,0.1489,0.1452
36A,36,A,Untreated,Untreated,-0.6,50.7,0.229,5.932,25.8526,5.7,8.033,7.724,3.0327,0.8225,47.18,-20.4,11661,7.06,236.75,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,0,,,0.8,95.2,14.5,41.41581,-112.21602,BRMBR,Great Salt Lake,,,Untreated,N,,13,86.7,4,Y, , , , , , , , , , ,,,224.6,202.2,3.96,43.95,-20.4,9,12.55,10.73321209,1,NA,Saline,96.2,22.55,0.0215,0.0726,0.5272,374.6,0.0034,0.0152,0.0965,0.0393,36.29,8.635,49.66,1.419,-0.0003,2.766,0.0318,3.265,0.058,2.225,0.0247,5.93,0.8498,0.9201,0.1314,0.1563
37A,37,A,Untreated,Untreated,-0.48,45,0.242,6.056,25.0752,4,8.333,7.797,2.5409,1.5549,26.92,23.5,5848.5,8.52,-97.1,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,128.8,14,41.42837,-112.28221,BRMBR,Great Salt Lake,,,Grazing,N,,15,100,5,Y, , , , , , , , , , ,,-38.84,63.8,86.8,1.465,19.1,23.5,5.8,20.65,19.8789058,1,Grazing,Saline,51.3,26.7,0.0146,0.1094,0.4874,382.6,0.0045,0.0177,0.1142,0.0507,46.45,14.08,52.65,1.312,0.0001,3.892,0.0379,3.232,0.0611,2.711,0.0018,5.025,0.9031,0.9952,0.1476,0.1848
38A,38,A,Native,Untreated,-0.41,78.7,0.182,5.434,29.9274,2.3,8.029,2.773,5.8515,0.1567,34.44,31.6,2724.4,7.466,-413.76,No,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,157.2,14,41.43724,-112.28945,BRMBR,Great Salt Lake,,,Grazing,N,,0,0,0,N, , , , , , , , , , ,,-413.76,-218.4,-254.4,0.252,3.14,31.6,0,17.8,11.68585278,1,Grazing,Brackish,-0.2,17.42,0.0175,0.0562,0.4847,379.3,0.0033,0.0135,0.0691,0.0319,28.59,7.117,44.49,1.09,0.002,5.404,0.0254,3.052,0.0301,4.183,0.0096,5.617,0.9274,0.7817,0.1162,0.1183
39A,39,A,Native,Untreated,-0.55,65.6,0.094,4.305,45.638,1.5,8.37,3.289,2.1567,0.1249,19.78,26.2,2646.4,7.456,-147.36,No,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,2,hardstem bullrush,"hardstem bullrush, phragmites",1.2,145.4,47.6,41.4429,-112.28801,BRMBR,Great Salt Lake,,,Grazing,N,,0,0,0,N, , , , , , , , , , ,,-147.36,-268.6,-247.4,0.92,12.34,26.2,0,21.44,10.50881464,2,Grazing,Brackish,51.3,11.7,0.0154,0.0414,0.3777,338.3,0.0024,0.0102,0.0694,0.0223,20.21,4.991,40.94,0.8941,0.0037,6.669,0.019,2.501,0.0258,2.744,0.0029,4.495,0.7363,0.4847,0.0977,0.0786
40A,40,A,Treated,Treated,-0.19,94,0.293,6.778,23.123,4.3,7.725,7.987,5.5087,0.1782,44.03,13.2,2416.666667,7.426666667,-137.6666667,Yes,0,,,1,phragmites,phragmites,2,phragmites,"phragmites, ?",0,,,1,?,?,0.8,36.2,4,41.44256,-112.28673,BRMBR,Great Salt Lake,GSL9,,Grazing,N,,11,73.3,2,Y, , , , , , , , , , ,,-82.6,-211.6,-291,3.033333333,4.933333333,13.2,0,22.1,14.71536708,2,Grazing,Saline,66.9,24.5,0.0318,0.0768,0.5538,395.9,0.0038,0.0172,0.1044,0.0473,40.52,9.742,44.51,1.289,0.0009,4.162,0.0388,3.394,0.0448,5.27,0.0036,5.341,0.9592,1.048,0.1346,0.1799
41A,41,A,Native,Untreated,-0.02,41.8,0.149,4.365,29.3239,3.5,7.973,0.6707,2.7416,0.1315,17.65,25.8,1169.666667,7.22,-156.2333333,No,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,2,hardstem bullrush,"hardstem bullrush, cattail",1.2,124.2,8.2,41.50555,-112.07122,BRMBR,Great Salt Lake,,,Native,N,,0,0,0,N,Y, , , , ,Meeting Criteria, , ,Cause, ,,-93.74,-142,-150.8,0.36,4.233333333,25.8,58,16.43333333,18.66782513,2,NA,Fresh,29.1,23.05,0.0299,0.0725,0.4646,281.3,0.0044,0.0184,0.0956,0.0434,37.54,9.579,50.37,1.755,-0.0001,1.438,0.0367,2.812,0.0378,2.035,0.0083,3.779,0.7863,0.7222,0.1433,0.1408
42A,42,A,Native,Untreated,-0.09,50.3,0.256,3.531,13.782,4.5,7.818,0.5419,3.417,0.1355,27.91,114.2,1251.666667,7.06,-207.7333333,No,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,360.8,10.4,41.50178,-112.07274,BRMBR,Great Salt Lake,,,Native,N,,0,0,0,N,Y, , , , ,Meeting Criteria, , ,Cause, ,,-124.64,-211,-201.2,0.213333333,2.633333333,114.2,68.8,17.46666667,20.28300484,1,NA,Fresh,103.2,16.94,0.01,0.0701,0.287,89,0.0027,0.0104,0.0616,0.0342,24.18,8.022,26.65,0.4907,0.0009,1.192,0.0226,2.973,0.0464,2.548,0.0209,4.496,0.2799,0.7735,0.0806,0.1145
43A,43,A,Untreated,Untreated,-0.16,259.9,0.777,13.033,16.7774,15.5,7.153,2.341,17.2775,2.5555,97.72,4.8,1298.333333,6.996666667,-249.9333333,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,366,15.2,41.4994,-112.07335,BRMBR,Great Salt Lake,,,Untreated,N,,14,93.3,5,Y,Y, , , , ,Meeting Criteria, , ,Cause, ,,-149.96,-164.2,-182.4,0.293333333,3.466666667,4.8,168.6,15.9,17.58286841,1,NA,Brackish,376,25.08,0.0179,0.1053,0.4675,253.6,0.0044,0.0145,0.0932,0.0681,39.43,12.75,41.72,1.212,0.0031,3.574,0.0312,3.727,0.0494,11.54,-0.0016,4.192,0.7333,0.7485,0.121,0.2236
46A,46,A,Native,Untreated,-0.12,65.8,0.216,6.382,29.5223,2.1,7.771,6.726,4.61,0.371,27.19,-19.8,427.2,6.98,-132.4286667,No,1,cattail,cattail ,1,cattail,cattail,1,cattail,cattail,2,cattail,"cattail, ?",3,?,"cattail, ?",1.6,14.8,124.8,40.36026,-111.85788,North Lake Park,Utah Lake,,,Mow,N,,0,0,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,-79.4572,-58.4,-94.6,0.23,12.8,-19.8,2.8,16.76666667,17.5669639,2,Mow,Saline,178,12.15,0.019,0.0382,0.3573,406.2,0.0037,0.0091,0.0683,0.0441,22.76,3.618,55.24,0.6113,0.0016,1.021,0.0239,2.591,0.0571,3.286,0.0173,4.034,1.234,0.6184,0.1283,0.277
47A,47,A,Native,Untreated,-0.29,82.2,0.274,5.491,20.0061,2.5,7.758,7.42,3.0958,0.1697,20.49,-11.7,2897.333333,6.703333333,-28.6,No,1,?,?,3,hardstem bullrush,"hardstem bullrush, ?",3,hardstem bullrush,"hardstem bullrush, ?",2,hardstem bullrush,"hardstem bullrush, ?",2,?,?,2.2,43.5,393.8,40.36037,-111.85968,North Lake Park,Utah Lake,,,Spray + Trample + Mow,Y,,1,6.7,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,-17.16,-38.4,-43.6,0.246666667,2.866666667,-11.7,6.5,14.36666667,29.57064311,2,Spray + Trample + Mow,Saline,344.5,12.57,0.0877,0.0455,0.2848,222,0.0025,0.0115,0.0756,0.04,29.26,4.016,25.22,0.4855,0.0053,1.417,0.0213,2.209,0.0327,4.202,0.0099,4.574,0.7805,0.8829,0.0917,0.1712
48A,48,A,Native,Untreated,-0.17,62.4,0.211,6.282,29.8341,4,7.865,7.606,2.6773,1.5328,34.85,-29.8,120.1,6.77,-577,No,3,cattail,"thistle, cattail, ?",5,cattail,"thistle, cattail, ?",1,cattail,cattail,1,cattail,cattail,1,thistle,thistle,2.2,258,26,40.36015,-111.85953,North Lake Park,Utah Lake,,,Spray + Trample + Mow,Y,,0,0,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,-115.4,224,219,0.71,7.5,-29.8,9,15,13.38849739,3,Spray + Trample + Mow,Saline,153.1,12.03,0.0246,0.0424,0.3024,382,0.0033,0.01,0.0683,0.0398,21.74,4.211,58.65,0.5871,0.0009,2.028,0.0193,2.765,0.0391,3.683,0.0085,4.582,1.139,0.5623,0.1331,0.2614
49A,49,A,Treated,Treated,0.01,48.1,0.195,6.349,32.6223,3.2,7.845,7.926,2.883,1.8229,30.41,-30,NA,NA,NA,No,2,?,?,3,?,?,3,three-square bullrush,"three-square bullrush, ?",3,three-square bullrush,"three-square bullrush, ?",2,?,?,2.6,6.6,119,40.35976,-111.85689,North Lake Park,Utah Lake,UL5,2021,Spray,Y,1,0,0,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,168.2,155.2,NA,NA,-30,1.52,NA,14.1798082,2,Spray,Saline,91.8,13.58,0.0328,0.0451,0.3523,409.4,0.0035,0.0117,0.0807,0.0561,25.69,4.258,52.79,0.6729,0,2.531,0.0273,2.778,0.0702,3.769,0.0128,4.358,1.342,0.615,0.1283,0.3326
50A,50,A,Untreated,Untreated,-0.27,41.8,0.333,5.79,17.3908,5.7,7.807,9.776,5.5955,3.0337,39.58,-28.8,833,6.99,110,Yes,3,phragmites,"phragmites, thistle, ?",2,phragmites,"phragmites, thistle",2,phragmites,"phragmites, thistle",2,phragmites,"phragmites, thistle",,,,1.8,85.8,49.25,40.36176,-111.85724,North Lake Park,Utah Lake,,,Untreated,N,,14,93.3,4,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,22,209.7,220.8,0.34,3.8,-28.8,9.6,12.7,18.60461165,3,NA,Saline,382.4,25.42,0.0325,0.0728,0.6106,253.9,0.0059,0.0221,0.1231,0.0793,48.71,9.141,47.91,1.233,0.0035,0.889,0.0527,4.488,0.1032,2.954,0.0155,4.101,0.738,1.859,0.1572,0.3826
51A,51,A,Treated,Treated,-0.05,224.5,1.054,16.075,15.2478,14.8,7.467,3.362,8.3871,0.3324,67.93,-13,1058.0525,7.1425,-324.3,No,3,,,2,three-square bullrush,,1,cattail,cattail,2,cattail,"cattail, Hardstem Bullrush",2,Three-square Bullrush,"Three-square Bullrush, cattail",2,40,864.8,40.28241,-111.75275,Holdaway,Utah Lake,UL6,2021,Trample + Seed,N,2,0,0,0,N,Y, , , , ,Cause, , , , ,,,-260.8,-292.4,0.47,6.025,-16.25,NA,13.4,34.31082507,3,Trample + Seed,Brackish,,13.08,0.0846,0.2775,0.5393,394.6,0.0037,0.0114,0.08,0.0813,30.05,7.584,77.05,1.128,0.0626,2.891,0.025,5.049,0.0911,24.78,0.031,3.311,3.524,0.5882,0.2297,0.3352
52A,52,A,Treated,Treated,-0.12,255.6,1.062,16.696,15.7196,15.4,7.493,5.07,8.0192,1.0882,59.33,-20.4,1536,7.22,-260.85,No,1,?,?,1,cattail,cattail,,,,1,cattail,cattail,1,cattail,cattail,0.8,37.75,3,40.28186,-111.75354,Holdaway,Utah Lake,UL7,2021,Seed,N,1,1,6.7,0,N,Y, , , , ,Cause, , , , ,,,-116.6,-261.4,0.575,6.5,-20.4,0,13.45,39.58241919,2,Seed,Saline,174.4,13.28,0.0767,0.2489,0.57,432.9,0.0035,0.01,0.0882,0.085,27.14,6.091,99.69,0.927,0.0362,2.805,0.0252,4.498,0.1105,25.89,0.025,3.179,4.193,0.5757,0.2588,0.3642
53A,53,A,Untreated,Untreated,-0.11,92.7,0.61,8.817,14.4515,8.1,8.785,7.638,5.0941,6.1559,84.55,-30,NA,NA,NA,Yes,2,phragmites,"stinging nettle, phragmites",2,phragmites,"phragmites, ?",2,phragmites,"phragmites, stinging nettle",1,phragmites,phragmites,1,phragmites,phragmites,1.6,109,14.4,40.283,-111.75316,Holdaway,Utah Lake,,,Trample + Mow,N,,14,93.3,5,Y,Y, , , , ,Cause, , , , ,,,149.8,138.6,NA,NA,-30,9.8,NA,15.95395594,3,Trample + Mow,Saline,269.6,21.76,0.0458,0.3329,0.6137,322.3,0.0048,0.0132,0.0861,0.0836,29.61,14.32,173.2,1.532,0.0026,3.31,0.0277,7.094,0.1099,6.284,-0.002,4.477,3.353,1.091,0.3883,0.2729
54A,54,A,Native,Untreated,-0.25,56.5,0.092,2.631,28.589,4,7.997,6.697,2.2988,0.1605,11.78,-3.5,1196,6.93,-382.02,No,2,?,"cattail, ?",2,cattail,"cattail, ?",2,cattail,"cattail, ?",3,?,?,2,?,?,2.2,33.6,216.4,40.30282,-111.76283,Sunset Beach Park Vineyard,Utah Lake,,,Native,N,,0,0,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,-382.02,-238.4,-233.2,0.294,15.28,-3.5,0,21.84,17.27009403,2,NA,Saline,71.8,5.957,0.0121,0.0246,0.1339,130.8,0.0019,0.0071,0.0586,0.0129,16.34,1.857,15.86,0.2464,0.0023,0.712,0.0113,1.253,0.0588,5.199,-0.0061,5.779,0.433,0.3533,0.0538,0.2721
55A,55,A,Native,Untreated,-0.56,27.2,0.114,3.241,28.4233,2.9,8.282,0.8008,2.1617,1.6558,8.22,-30,NA,NA,NA,Yes,4,?,?,3,?,?,2,phragmites,"phragmites, thistle",2,phragmites,"phragmites, thistle",2,thistle,"thistle, phragmites",2.6,73.6,11.6,40.30285,-111.76231,Sunset Beach Park Vineyard,Utah Lake,,,Mow,N,,6,40,2,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,243,224.8,NA,NA,-30,6.6,NA,30.66798196,3,Mow,Fresh,123.3,9.462,0.012,0.038,0.2072,177.4,0.0025,0.0103,0.0592,0.0198,22.18,3.376,19.05,0.3394,0.0031,1.286,0.0171,1.588,0.0233,1.92,0.0045,5.993,0.7165,0.6844,0.0686,0.098
56A,56,A,Untreated,Untreated,-0.07,79.1,0.125,3.485,27.9625,1.8,7.887,6.97,3.353,0.1488,17.5,7.6,1452.4,7.41,-104.98,No,3,?,?,2,hardstem bullrush,"hardstem bullrush, ?",4,hardstem bullrush,"hardstem bullrush, american bullrush, ?",2,?,?,4,?,"hardstem bullrush, ?",3,126.8,93,40.30335,-111.76286,Sunset Beach Park Vineyard,Utah Lake,,,Mow,N,,1,6.7,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,-104.98,-255.6,-238.94,2.432,30.58,7.6,0,19.92,15.79516364,3,Mow,Saline,83.9,7.96,0.0168,0.0363,0.222,155.8,0.0023,0.0095,0.0553,0.0175,20.52,2.7,17.25,0.4435,0.004,0.6914,0.0152,1.588,0.0657,7.044,-0.0053,5.951,0.5607,0.4851,0.0655,0.3629
57A,57,A,Treated,Treated,0,49.6,0.362,5.426,14.9835,5.9,7.672,0.6557,5.7235,0.1724,40.26,-3.6,379.875,7.1875,-108.1,Yes,,,,1,phragmites,phragmites,,,,2,phragmites,"phragmites, ?",1,phragmites,phragmites,0.8,51.66666667,4,40.36235,-111.86669,Kintail Saratoga,Utah Lake,UL8,2021,Spray + Mow,Y,3,9,60,3,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,-86.48,-168.2,-205.2,0.2625,3.55,-3.6,17.4,15.27,19.88323133,2,Spray + Mow,Fresh,12.4,26.61,0.0179,0.0827,0.4635,118.1,0.0054,0.0251,0.1283,0.0648,51.94,10.61,36.46,0.9748,0.0071,0.7467,0.0567,3.646,0.1006,4.822,-0.0067,5.982,0.4126,1.964,0.1595,0.3081
58A,58,A,Native,Untreated,-0.31,97.9,0.241,6.733,27.9408,3.8,7.639,7.64,5.3747,0.1454,35.47,5,793.5,6.8775,-164,No,1,cattail,"cattail, bullrush",,,,2,?,"cattail, ?",,,,,,,0.6,43.4,71,40.3607,-111.86722,Kintail Saratoga,Utah Lake,,,Spray + Mow,Y,,0,0,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,-152.2,-239.4,8.13,2.6,5,5.4,15.42,15.02477647,3,Spray + Mow,Saline,78.8,12.96,0.0295,0.0488,0.3743,441.8,0.0028,0.0103,0.0707,0.0395,27.34,4.068,66.85,0.7073,0.0012,1.246,0.0236,2.969,0.0383,4.401,-0.0066,6.22,1.347,0.6035,0.1524,0.2846
59A,59,A,Treated,Treated,-0.36,41.1,0.187,2.12,11.3466,3.7,7.593,0.456,3.3803,0.4698,20.09,-25.4,3512,7.01,-82,No,,,,,,,,,,,,,,,,0,NA,NA,40.36158,-111.86663,Kintail Saratoga,Utah Lake,UL9,2021,Spray + Mow,Y,3,8,53.3,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,-16.4,91.4,67.6,0.25,2.7,-25.4,9.9,10.4,20.58324461,0,Spray + Mow,Fresh,163.4,12.92,0.0083,0.034,0.2288,16.48,0.0024,0.0104,0.058,0.0312,22.9,4.833,11.38,0.3603,0.0016,0.4258,0.0205,2.014,0.0745,1.682,-0.0029,5.688,0.1076,1.066,0.0529,0.142
63A,63,A,Untreated,Untreated,-0.14,286.6,0.885,14.221,16.0653,22,8.006,1.286,12.6049,0.18,79.83,14.8,3843,7.544,-104.4,Yes,2,phragmites,"phragmites, cattail",1,phragmites,phragmites,2,phragmites,"phragmites, cattail",2,phragmites,"phragmites, cattail",2,phragmites,"phragmites, cattail",1.8,186.4,18.8,41.16775,-112.18707,OBWMA,Great Salt Lake,,2016,Grazing,N,1,14,93.3,5,Y, , , , , , , , , , ,,-104.4,-196.4,-211.8,1.366,15.64,14.8,0,14.54,24.51485376,2,Grazing,Fresh,230.5,26.48,0.0903,0.2054,0.543,165.9,0.0215,0.0216,0.1329,0.3541,51.76,13.79,45.17,1.256,0.0058,10.98,0.0476,4.437,1.348,16.32,-0.0088,5.89,0.3869,0.8956,0.1582,1.678
64A,64,A,Native,Untreated,-0.16,204.2,0.779,12.279,15.7536,14.6,7.325,2.446,8.0821,0.1759,37.7,20.2,1312.2,7.498,-536.02,No,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,153,8.6,41.17576,-112.16986,OBWMA,Great Salt Lake,,,Native,N,,0,0,0,N,Y, ,Cause, , , , , , , ,,-536.02,-208.4,-203.8,2.608,33.1,20.2,0,18.16,45.6928527,1,NA,Brackish,155.2,26.08,0.0536,0.173,0.5456,175,0.0082,0.0218,0.1306,0.172,50.52,13.2,45.86,1.206,0.005,3.867,0.0503,3.891,0.9544,14.16,-0.0016,5.969,0.4811,0.9162,0.1529,0.9367
65A,65,A,Treated,Treated,-0.5,55,0.205,4.364,21.2556,3.4,8.21,2.256,2.7329,0.1408,88.59,24.8,970.034,8.048,0.76,Yes,0,,,1,phragmites,phragmites,1,phragmites,phragmites,0,,,1,phragmites,phragmites,0.6,32.8,3.2,41.17627,-112.16831,OBWMA,Great Salt Lake,GSL10,,,N,,9,60,3,Y,Y, ,Cause, , , , , , , ,,0.76,-187,-200.8,7.236,93.42,24.8,0,20.42,5.117069608,1,NA,Brackish,38.8,27.07,0.0667,0.1481,0.5924,215.2,0.0105,0.0195,0.1231,0.2318,47.97,13.06,59.61,1.801,0.0038,7.109,0.0457,4.205,1.377,2.633,-0.013,8.462,0.4061,0.9411,0.168,1.537
66A,66,A,Native,Untreated,-0.65,89.4,0.376,6.939,18.4482,6.7,7.927,3.853,3.3446,0.1796,38.47,7.6,2347,9.344,-705.8,No,3,?,?,4,?,?,3,?,?,2,?,?,3,?,?,3,34.6,1561.4,41.13001,-112.1496,Howard Slough,Great Salt Lake,,,Native,N,,0,0,0,N, , , , , , , , , , ,,-705.8,-44,-45.8,4.226,50.78,7.6,0,16.74,21.61313788,1,NA,Brackish,152.4,29.01,0.0726,0.1915,0.8112,290.2,0.0073,0.0216,0.1356,0.197,52.91,16.29,73.1,1.576,0.0036,13.01,0.0479,4.074,0.4428,9.747,-0.0114,5.332,0.8605,1.041,0.2073,0.6281
67A,67,A,Untreated,Untreated,-0.99,105,0.276,5.299,19.23,4.2,8.248,4.66,3.0975,0.154,50.79,24.6,NA,NA,NA,Yes,2,phragmites,"phragmites, cattail",3,phragmites,"phragmites, hardstem bullrush, cattail",3,phragmites,"phragmites, hardstem bullrush, cattail",1,cattail,cattail,2,phragmites,"phragmites, cattail",2.2,93.8,15.4,41.12602,-112.14107,Howard Slough,Great Salt Lake,,,Untreated,N,,12,80,4,Y, , , , , , , , , , ,,,-281.4,-255,NA,NA,24.6,5.4,NA,12.01663956,3,NA,Saline,77.4,24.1,0.0755,0.1708,0.5988,270.1,0.0083,0.0193,0.1076,0.2123,46.09,12.7,73.2,1.633,0.0024,12.4,0.0526,4.368,0.4391,13.98,0.0017,5.561,0.7053,1.017,0.1945,0.6235
68A,68,A,Native,Untreated,-0.08,80.4,0.377,6.474,17.1923,6.1,7.977,2.924,4.4359,0.1863,58.52,13.7,NA,NA,NA,Yes,3,three-square bullrush,"three-square bullrush, ?",5,?,"three-square bullrush, ?",2,?,"three-square bullrush, ?",3,three-square bullrush,"three-square bullrush, phragmites, ?",2,Three-square Bullrush,"three-square bullrush, ?",3,54.4,715.2,41.12355,-112.13982,Howard Slough,Great Salt Lake,,,Native,N,,0,0,0,N, , , , , , , , , , ,,,-225.4,-270.4,NA,NA,13.7,0,NA,14.24587726,3,NA,Brackish,178.2,31.18,0.0844,0.2344,0.8245,246.9,0.0095,0.0252,0.1309,0.2063,58.12,17.3,94.54,1.933,0.0038,10.36,0.0632,4.427,0.5082,7.581,-0.0032,5.592,0.6709,1.074,0.2508,0.739
69A,69,A,Native,Untreated,-0.17,99.2,0.576,8.927,15.507,12.6,7.66,4.52,6.591,0.2149,58.36,15,1225.75,7.32,-806.025,No,2,?,"cattail, ?",3,?,"cattail, ?",2,?,"cattail, ?",2,?,?,3,cattail,"cattail, ?",2.4,83,224.8,41.12295,-112.14029,Howard Slough,Great Salt Lake,,,Native,N,,0,0,0,N, , , , , , , , , , ,,-644.74,-143.8,-132.2,1.528,31.75,15,0,21.9,21.82525696,2,NA,Saline,157.4,35.39,0.1056,0.2389,0.8625,243.5,0.0099,0.026,0.1531,0.3,63.44,19.43,84.03,1.639,0.0056,7.95,0.0701,4.674,0.7627,10.37,0.0041,5.522,0.7123,1.197,0.2535,1.106
70A,70,A,Treated,Treated,-0.37,34,0.184,3.611,19.5821,4.6,7.708,1.103,6.9529,3.6876,49.15,-30,NA,NA,NA,Yes,0,,,2,phragmites,"phragmites, ?",0,,,0,,,0,,,0.4,2.2,1.8,40.35397,-111.89886,Inlet Park Saratoga,Utah Lake,UL10,2021,Spray + Mow,Y,3,4,26.7,1,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,256,246.4,NA,NA,-30,16,NA,8.278401128,2,Spray + Mow,Fresh,136.2,38.27,0.0235,0.0942,0.6004,199.7,0.0083,0.0276,0.1613,0.0814,57.01,15.36,29.27,1.544,0.0046,1.131,0.0766,3.813,0.0749,1.69,-0.008,6.892,0.6001,1.724,0.1443,0.3389
71A,71,A,Native,Untreated,0.15,114.7,0.294,5.641,19.1942,6.3,7.603,1.706,5.4109,0.1634,36,-2.9,2383.75,7.0975,-167.275,Yes,3,american bullrush,"american bullrush, hardstem bullrush, phragmites",4,cattail,"cattail, american bullrush, phragmites, ?",4,cattail,"cattail, phragmites, ?",5,phragmites,"phragmites, ?",4,cattail,"cattail, american bullrush, ?",4,79.4,105.4,40.35223,-111.89975,Inlet Park Saratoga,Utah Lake,,,Spray + Mow,Y,,1,6.7,1,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,-106.2,-139.4,0.125,1.55,-2.9,1.2,16.8,18.0591371,5,Spray + Mow,Brackish,40.8,37.71,0.0707,0.1201,0.5685,263.2,0.0096,0.026,0.1603,0.0849,62.14,13.83,32.2,1.238,0.0053,3.169,0.0817,3.953,0.0629,11.83,0.0072,6.733,1.222,1.44,0.1625,0.4035
